region,control_plane_name,control_plane_id,serverless_gateway_url,auth_server_url
"eu","student67-cp","922bac78-ca06-46dd-80db-5b47dd447a65","https://eef9570296.eu.serverless.gateways.konggateway.com","https://oqqsc1tht6ou5tb6.eu.identity.konghq.com/auth"
"eu","student68-cp","e4f5a2a8-a526-4369-81d5-9b9a35a90b64","https://ee55dd59c2.eu.serverless.gateways.konggateway.com","https://kb9z86nr0y7ff6en.eu.identity.konghq.com/auth"
"eu","student69-cp","74fe7ba6-4a54-4cb1-bce9-37e14258f10f","https://33c7fca4c5.eu.serverless.gateways.konggateway.com","https://q5inpof24wfp9bob.eu.identity.konghq.com/auth"
"eu","student70-cp","66a76ab9-b58f-4b13-abe6-bc46af558885","https://1f1f71ae1d.eu.serverless.gateways.konggateway.com","https://69ba41wscc4f1tta.eu.identity.konghq.com/auth"
"eu","student71-cp","dd6162b7-5c51-465d-b2e7-3d6b23d7d055","https://0e66797b51.eu.serverless.gateways.konggateway.com","https://7tz1bgr216wpzqbw.eu.identity.konghq.com/auth"
"eu","student72-cp","6ebbbcb0-53ff-4cc0-b5cc-4c7fb373496f","https://0fd0b352cb.eu.serverless.gateways.konggateway.com","https://x9u45thty782ycxu.eu.identity.konghq.com/auth"
"eu","student73-cp","ab236114-5cfd-443f-90c1-6b91de637fbf","https://5d369b9cf2.eu.serverless.gateways.konggateway.com","https://agohl0w4yaq1ql8o.eu.identity.konghq.com/auth"
"eu","student74-cp","d62aff11-9737-4d87-8694-00de483367e2","https://0ad1442a88.eu.serverless.gateways.konggateway.com","https://lh00mop9iixvi0xf.eu.identity.konghq.com/auth"
"eu","student75-cp","d286e8f2-a0bc-4d39-972d-e68548a5b515","https://573189cc6d.eu.serverless.gateways.konggateway.com","https://ry06r4jkbpj6qhi7.eu.identity.konghq.com/auth"
"eu","student76-cp","70dbedab-a6e7-4574-bdfd-02c9bef26c47","https://9cfdd825e9.eu.serverless.gateways.konggateway.com","https://4l89g294jpla8r0n.eu.identity.konghq.com/auth"
"eu","student77-cp","12b69a0d-499d-4588-bd0d-354aa392f7e9","https://d9c9c93af5.eu.serverless.gateways.konggateway.com","https://jr4sebejh3a6gh01.eu.identity.konghq.com/auth"
"eu","student78-cp","f0679d3d-210e-4354-81ec-aeb7d6f6c55c","https://34cb0b2cc7.eu.serverless.gateways.konggateway.com","https://lrg6tt7y4d00qhj5.eu.identity.konghq.com/auth"
"eu","student79-cp","27036f31-f920-47fd-8f3a-f9ab0b21ceb9","https://8fe907187a.eu.serverless.gateways.konggateway.com","https://g654y7q90lof3elq.eu.identity.konghq.com/auth"
"eu","student80-cp","a1663b8f-cfcf-4127-947e-dd49576577ec","https://85c7da7bb8.eu.serverless.gateways.konggateway.com","https://vzcbu263jrcktk4n.eu.identity.konghq.com/auth"
"eu","student81-cp","eef60c5f-9c4b-4042-a0f3-020de15c42ac","https://af8b36c474.eu.serverless.gateways.konggateway.com","https://0j8t8wdop6owru1b.eu.identity.konghq.com/auth"
"eu","student82-cp","6ded457f-6632-4abe-b6d2-57e2285519e4","https://816aeacbee.eu.serverless.gateways.konggateway.com","https://nzkvl8mth97w9v1y.eu.identity.konghq.com/auth"
"eu","student83-cp","50389596-3945-46e4-ad6f-776c4de8e9d1","https://1ef9a8378c.eu.serverless.gateways.konggateway.com","https://d9mk3uwy1qzrbk0j.eu.identity.konghq.com/auth"
"eu","student84-cp","e22dc814-8827-4646-844e-4eff61495832","https://0d16593493.eu.serverless.gateways.konggateway.com","https://337zsrpqqszp9dg1.eu.identity.konghq.com/auth"
"eu","student85-cp","96b1f4f2-7529-49bb-8546-5dfc4fe2ec67","https://5113bde43b.eu.serverless.gateways.konggateway.com","https://uhof1ts8ikkmuudy.eu.identity.konghq.com/auth"
"eu","student86-cp","172cc043-a8b4-43c5-9aa2-fe0cc9172f45","https://294d0fff34.eu.serverless.gateways.konggateway.com","https://3cyzi6qev3ufvwid.eu.identity.konghq.com/auth"
"eu","student87-cp","bc531746-3222-4cff-9b90-9faa4a72aa7f","https://dc39cffaf5.eu.serverless.gateways.konggateway.com","https://oogrw9yxv4p7b6md.eu.identity.konghq.com/auth"
"eu","student88-cp","484fc148-dcbd-49f3-9580-f73855aa44f8","https://c055cef15a.eu.serverless.gateways.konggateway.com","https://t6qcp9pso0v4a1yc.eu.identity.konghq.com/auth"
"eu","student89-cp","787ee0c3-85ba-414f-b348-293d2bc36b7a","https://844dec0621.eu.serverless.gateways.konggateway.com","https://bo7j7kzwg0chwa0c.eu.identity.konghq.com/auth"
"eu","student90-cp","2f4aa262-78ab-432b-9695-469f9b51f048","https://2ac4d8c822.eu.serverless.gateways.konggateway.com","https://ymn57i8xg78bwmho.eu.identity.konghq.com/auth"
"us","default","c3e628cf-66e4-4bda-8bc3-cf65875198ac","https://434d50533b.us.serverless.gateways.konggateway.com",""
"us","student-01-cp","b5e4900e-62e3-42d7-a950-d5e63068a407","https://0c0fb78154.us.serverless.gateways.konggateway.com","https://n9gyxpdhvp5y0c2d.us.identity.konghq.com/auth"
"us","student-02-cp","1c8a6a67-9bae-45b9-9555-44f7f2c07591","https://6714e91752.us.serverless.gateways.konggateway.com","https://l9ldab9df5o4i3sd.us.identity.konghq.com/auth"
